file_path,is_successful,blocked,block_category
../../browser_history_output/brooksim.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260213-055203,True,False,no_blocking
../../browser_history_output/brooksim.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260212-163318,True,False,no_blocking
../../browser_history_output/dealerx.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260213-185134,True,False,no_blocking
../../browser_history_output/dealerx.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260213-060144,True,False,no_blocking
../../browser_history_output/choreograph.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260213-094041,True,False,no_blocking
../../browser_history_output/choreograph.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260212-205027,True,False,no_blocking
../../browser_history_output/locatesmarter.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260210-061326,True,False,no_blocking
../../browser_history_output/locatesmarter.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-093830,False,True,automation_instability
../../browser_history_output/liveramp.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260210-052011,True,False,no_blocking
../../browser_history_output/liveramp.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-090154,True,False,no_blocking
../../browser_history_output/carmarketsolutions.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260213-073703,False,True,navigation_failure
../../browser_history_output/carmarketsolutions.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260212-181817,False,True,navigation_failure
../../browser_history_output/forewarn.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260211-161254,True,False,no_blocking
../../browser_history_output/forewarn.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-223818,True,False,no_blocking
../../browser_history_output/attribits.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260212-232003,True,False,no_blocking
../../browser_history_output/attribits.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260212-102423,True,False,no_blocking
../../browser_history_output/eprodirect.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260214-024201,True,False,no_blocking
../../browser_history_output/eprodirect.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260213-142522,True,False,no_blocking
../../browser_history_output/jdmlistservices.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260209-221341,True,False,no_blocking
../../browser_history_output/jdmlistservices.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-025953,True,False,no_blocking
../../browser_history_output/evs7.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260214-042735,True,False,no_blocking
../../browser_history_output/evs7.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260213-170205,True,False,no_blocking
../../browser_history_output/issgovernance.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260209-183256,True,False,no_blocking
../../browser_history_output/issgovernance.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-021126,True,False,no_blocking
../../browser_history_output/outlogic.io/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260210-211803,False,True,automation_instability
../../browser_history_output/forager.ai/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260211-154605,True,False,no_blocking
../../browser_history_output/forager.ai/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-221332,True,False,no_blocking
../../browser_history_output/firstdirectmarketing.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260211-145654,True,True,interaction_failure
../../browser_history_output/firstdirectmarketing.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-211120,True,False,no_blocking
../../browser_history_output/altairdata.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260212-201811,True,False,no_blocking
../../browser_history_output/altairdata.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260212-071731,True,False,no_blocking
../../browser_history_output/jungroup.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260209-230331,True,True,automation_instability
../../browser_history_output/jungroup.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-032214,False,True,content_access_limitation
../../browser_history_output/cognism.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260213-122616,True,False,no_blocking
../../browser_history_output/cognism.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260212-224347,True,False,no_blocking
../../browser_history_output/biointelli.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260213-034642,True,True,interaction_failure
../../browser_history_output/biointelli.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260212-141731,True,False,no_blocking
../../browser_history_output/retention.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260211-075217,False,True,navigation_failure
../../browser_history_output/livedatatechnologies.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260210-045321,True,True,automation_instability
../../browser_history_output/livedatatechnologies.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-082352,True,False,no_blocking
../../browser_history_output/pitchbook.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260210-230635,True,False,no_blocking
../../browser_history_output/alescodata.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260212-192833,True,False,no_blocking
../../browser_history_output/alescodata.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260212-061930,True,False,no_blocking
../../browser_history_output/dnb.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260213-232720,False,True,automation_instability
../../browser_history_output/dnb.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260213-104050,True,False,no_blocking
../../browser_history_output/lightcast.io/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260210-042511,True,False,no_blocking
../../browser_history_output/lightcast.io/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-075938,True,True,interaction_failure
../../browser_history_output/acxiom.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260212-152530,True,False,no_blocking
../../browser_history_output/acxiom.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260212-040027,True,False,no_blocking
../../browser_history_output/pipl.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260210-224652,True,False,no_blocking
../../browser_history_output/abovedata.io/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260212-144438,True,False,no_blocking
../../browser_history_output/abovedata.io/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260212-025023,True,False,no_blocking
../../browser_history_output/marketops.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260210-091807,True,False,no_blocking
../../browser_history_output/firstorion.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260211-150841,True,False,no_blocking
../../browser_history_output/firstorion.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-212543,True,False,no_blocking
../../browser_history_output/flashintel.ai/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260211-151554,True,True,automation_instability
../../browser_history_output/flashintel.ai/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-213823,True,False,no_blocking
../../browser_history_output/360mediadirect.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260212-073518,True,False,no_blocking
../../browser_history_output/360mediadirect.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260211-224549,True,False,no_blocking
../../browser_history_output/pulsepoint.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260211-031708,True,False,no_blocking
../../browser_history_output/hireez.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260212-012348,False,True,automation_instability
../../browser_history_output/hireez.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260211-035643,True,True,security_barrier
