url,status
https://WWW.DATONICS.COM,True
https://WWW.MULTIMEDIALISTS.COM,True
https://Www.liftbasedata.com,True
https://www.01advertising.com,True
https://www.33across.com/,True
https://www.33mileradius.com,True
https://www.360mediadirect.com,True
https://www.4-Eyes.ai,True
https://www.5x5coop.com/,True
https://www.6sense.com/,True
https://www.Aristotle.com,True
https://www.Bombora.com,True
https://www.Datanyze.com,True
https://www.Dresdendirect.com,True
https://www.Fraiser.org,True
https://www.Intalytics.com,True
https://www.KBSynergy.com,False
https://www.L2-data.com,True
https://www.LGAds.tv,True
https://www.Marriott.com,True
https://www.Realintent.co,True
https://www.Traackr.com,True
https://www.Wiland.com/privacy-choices,True
https://www.Zoominfo.com,True
https://www.abovedata.io,True
https://www.acbj.com,True
https://www.accurateappend.com/,True
https://www.achcoop.com,True
https://www.acxiom.com/,True
https://www.adara.com,True
https://www.adept-id.com/,True
https://www.adsquare.com/,True
https://www.adstradata.com/,True
https://www.affinity.solutions,True
https://www.affinityanswers.com,True
https://www.agedleadstore.com,True
https://www.agrmarketingsolutions.com,True
https://www.aidentified.com,True
https://www.alescodata.com,True
https://www.alikeaudience.com/,True
https://www.alliantinsight.com/,True
https://www.altairdata.com,True
https://www.amplemarket.com,True
https://www.analytics-iq.com,True
https://www.anchorcomputer.com/,True
https://www.andrewswharton.com,True
https://www.anteriad.com/,True
https://www.apollo.io,True
https://www.apollointeractive.com/,True
https://www.appscience.ai/,True
https://www.astoriacompany.com,True
https://www.atdata.com,True
https://www.attribits.com,True
https://www.audienceacuity.com/,True
https://www.audigent.com,True
https://www.autoweb.com,True
https://www.awl.com,True
https://www.azerion.com,True
https://www.azira.com/,True
https://www.bbdirect.com/,True
https://www.bdex.com/,True
https://www.bdo.com/do-not-sell-my-personal-information,True
https://www.beenverified.com,True
https://www.beeswax.com/,True
https://www.belardiwong.com/,True
https://www.big-village.com,True
https://www.bigdbm.com/,True
https://www.biointelli.com,True
https://www.blackbaud.com,True
https://www.blackpearl.com,True
https://www.blis.com,True
https://www.bookyourdata.com,True
https://www.brandwatch.com/,True
https://www.bridg.com,True
https://www.brightcheck.com/,True
https://www.brooksim.com/,True
https://www.buildertrend.com/,True
https://www.buxtonco.com,True
https://www.buyerlink.com,True
https://www.cadent.tv,True
https://www.captifytechnologies.com/,True
https://www.careerbuilder.com,True
https://www.carmarketsolutions.com,True
https://www.carneydirect.com,True
https://www.catalina.com,True
https://www.catalist.us,True
https://www.cdkglobal.com,True
https://www.cengage.com,True
https://www.censia.com,True
https://www.checkpeople.com/,True
https://www.checksecrets.com--peoplesearchUSA.org--inmatesearcher.com--sealedrecords.net,False
https://www.choreograph.com/,True
https://www.cision.com,True
https://www.citydata.ai,False
https://www.civisanalytics.com/,True
https://www.claritas.com,True
https://www.clay.com,True
https://www.clearcompany.com,True
https://www.clearview.ai/,True
https://www.clickagy.com/,True
https://www.clientcommand.com,True
https://www.cognism.com,True
https://www.collectivedata.io/,True
https://www.completemailinglists.com,True
https://www.completemedicallists.com/,True
https://www.comscore.com,True
https://www.connectedinvestors.com,True
https://www.connextdigital.com,True
https://www.contacts411.com,True
https://www.convex.com/,True
https://www.corp.narvar.com/,False
https://www.costar.com,True
https://www.crawlbee.com/,False
https://www.crexi.com,True
https://www.crosspixel.met,False
https://www.crunchbase.com/,True
https://www.cuebiq.com,True
https://www.data-axle.com,True
