url,is_url_valid_status
https://www.rocketreach.co,True
https://www.rooftopdigital.com,True
https://www.roq.ad/,True
https://www.roundsky.com,True
https://www.rrd.com,True
https://www.sabio.inc/,True
https://www.salutarydata.com,True
https://www.samba.tv/,True
https://www.sbfe.org,True
https://www.scanbuy.com/,True
https://www.seamless.ai,True
https://www.searchpublicrecords.com,True
https://www.seekout.com/,True
https://www.semasio.com,True
https://www.semcasting.com/,True
https://www.sharelocalmedia.com,True
https://www.sharethrough.com/,True
https://www.sheerid.com/,True
https://www.similarweb.com/,True
https://www.simiocloud.com,True
https://www.siteimpact.com,True
https://www.slashdotmedia.com,True
https://www.smartmove.us,True
https://www.sms-inc.com,True
https://www.snov.io,True
https://www.socialcatfish.com,True
https://www.socialgist.com,True
https://www.sourcepathdigital.com/,True
https://www.sovrn.com/,True
https://www.speedeondata.com,True
https://www.spokeo.com,True
https://www.spyfly.com,True
https://www.stackadapt.com,True
https://www.start.io/,True
https://www.statara.com,True
https://www.statsocial.com,True
https://www.steppingblocks.com/,True
https://www.sterling.ai,True
https://www.stirista.com/,True
https://www.swoop.com/,True
https://www.t-mobile.com/advertising-solutions,True
https://www.taboola.com/,True
https://www.tapad.com,True
https://www.targetsmart.com/,True
https://www.teamdms.com,True
https://www.techtarget.com/,True
https://www.telesign.com/,True
https://www.terminus.com,True
https://www.thebridgecorp.com/,True
https://www.thedatagroup.com,True
https://www.thedatatrust.com,True
https://www.theorg.com/,True
https://www.theswarm.com/,True
https://www.theworknumber.com/,True
https://www.thinkdatagroup.com,True
https://www.thomsonreuters.com,True
https://www.throtle.io,True
https://www.transunion.com,True
https://www.trestleiq.com/,True
https://www.triplelift.com/,True
https://www.trueblueanalytics.org/,True
https://www.truedata.co,True
https://www.trueopulence.com/,True
https://www.truepeoplesearch.com,True
https://www.truthfinder.com,True
https://www.tunnldata.com,True
https://www.unacast.com/,True
https://www.unearthcampaigns.com,True
https://www.unmask.com/,True
https://www.uplead.com,True
https://www.upscapital.com/,True
https://www.usadata.com,True
https://www.usdatacorporation.com,True
https://www.usmarketinggrp.com/,True
https://www.uspeoplesearch.com/,True
https://www.veeva.com/,True
https://www.vendelux.com/,True
https://www.venntel.com/,True
https://www.venpath.net,True
https://www.ventiveiq.com,True
https://www.veraset.com,True
https://www.versium.com/,True
https://www.viantinc.com,True
https://www.videoamp.com,True
https://www.visitiq.io,True
https://www.vistarmedia.com,True
https://www.visualvisitor.com/,True
https://www.vrtcal.com,True
https://www.warmly.ai/,True
https://www.wealthfeed.com,True
https://www.webbula.com,True
https://www.weinform.org,True
https://www.whitepages.com,True
https://www.windfall.com,True
https://www.winrdata.com/,True
https://www.wunderkind.co/,True
https://www.xcelerated.com,True
https://www.zetaglobal.com,True
https://www.ziffdavis.com/,True
https://www.zs.com,True
